"","slope","season","elevation","ndvi","temperature"
"1","Bhutan","summer",3985.0576171875,0.146111123263836,15.3083333969116
"2","Bhutan","summer",4129.8623046875,0.154722236096859,14.7625000476837
"3","Bhutan","summer",4164.87255859375,0.155944459140301,14.6124999523163
"4","Bhutan","summer",4255.1748046875,0.171000014990568,14.2666666507721
"5","Bhutan","summer",4243.9375,0.205333352088928,14.2374999523163
"6","Bhutan","summer",4672.1748046875,0.243000019341707,12.5833334922791
"7","Bhutan","summer",4604.302734375,0.263500019907951,12.8250000476837
"8","Bhutan","summer",4440.3623046875,0.263833355158567,13.4291667938232
"9","Bhutan","summer",4218.72509765625,0.233722239732742,14.3208334445953
"10","Bhutan","summer",4122.169921875,0.19644445553422,14.6333332061768
"11","Bhutan","summer",4122.79736328125,0.141444459557533,14.6375000476837
"121","Bhutan","summer",4058.01000976562,0.148444455116987,15.0750002861023
"122","Bhutan","summer",4127.58251953125,0.154555570334196,14.8083333969116
"123","Bhutan","summer",4208.10009765625,0.153000012040138,14.4916665554047
"124","Bhutan","summer",4280.0849609375,0.168111126869917,14.2166666984558
"125","Bhutan","summer",4238.134765625,0.171000011265278,14.3500001430511
"126","Bhutan","summer",4494.60986328125,0.195666681975126,13.3916666507721
"127","Bhutan","summer",4760.65771484375,0.238222237676382,12.3208334445953
"128","Bhutan","summer",4829.65478515625,0.238333344459534,12.0916666984558
"129","Bhutan","summer",4595.37744140625,0.250055570155382,12.9249999523163
"130","Bhutan","summer",4599.02001953125,0.206777792423964,12.9083335399628
"131","Bhutan","summer",4230.46240234375,0.163722235709429,14.4041664600372
"132","Bhutan","summer",3918.38256835938,0.191000014543533,15.5291669368744
"133","Bhutan","summer",3930.82495117188,0.15988889709115,15.4375
"134","Bhutan","summer",4181.14990234375,0.183777794241905,14.5125002861023
"135","Bhutan","summer",4390.125,0.22855556756258,13.7166664600372
"136","Bhutan","summer",4533.72509765625,0.255666684359312,13.2000002861023
"137","Bhutan","summer",4747.84765625,0.284333355724812,12.3416666984558
"138","Bhutan","summer",4694.6025390625,0.282777808606625,12.495833158493
"139","Bhutan","summer",4887.65234375,0.270944461226463,11.745833158493
"140","Bhutan","summer",4618.267578125,0.289333358407021,12.7916665077209
"141","Bhutan","summer",4758.3251953125,0.288277797400951,12.2666666507721
"142","Bhutan","summer",4687.71240234375,0.287277795374393,12.5791666507721
"143","Bhutan","summer",4489.99267578125,0.257000010460615,13.3458333015442
"144","Bhutan","summer",4289.31982421875,0.18911112472415,14.1458332538605
"145","Bhutan","summer",4115.43994140625,0.159333351999521,14.816666841507
"146","Bhutan","summer",3954.44750976562,0.164000011980534,15.4166667461395
"147","Bhutan","summer",3912.70239257812,0.178111128509045,15.5708334445953
"148","Bhutan","summer",4006.68994140625,0.150500006973743,15.245833158493
"149","Bhutan","summer",4119.7998046875,0.144444454461336,14.8541665077209
"150","Bhutan","summer",4221.75244140625,0.174722235649824,14.4583330154419
"151","Bhutan","summer",4362.919921875,0.199555572122335,13.9500002861023
"152","Bhutan","summer",4281.0048828125,0.165888901799917,14.2875001430511
"153","Bhutan","summer",4047.11010742188,0.148555565625429,15.1875002384186
"154","Bhutan","summer",3967.21508789062,0.171388905495405,15.4583332538605
"155","Bhutan","summer",4114.62255859375,0.183555565774441,14.9041666984558
"241","Bhutan","summer",4161.52734375,0.143111124634743,14.7249999046326
"242","Bhutan","summer",4136.2626953125,0.155222237110138,14.8041665554047
"243","Bhutan","summer",4212.96484375,0.152222231030464,14.5083334445953
"244","Bhutan","summer",4347.0048828125,0.193888902664185,13.9708335399628
"245","Bhutan","summer",4434.60498046875,0.196444466710091,13.625
"246","Bhutan","summer",4379.04736328125,0.186777792870998,13.8250000476837
"247","Bhutan","summer",4706.10498046875,0.240222238004208,12.5791668891907
"248","Bhutan","summer",4530.65234375,0.208333343267441,13.3041665554047
"249","Bhutan","summer",4418.3076171875,0.177000008523464,13.7374999523163
"250","Bhutan","summer",4419.365234375,0.154444456100464,13.7083332538605
"251","Bhutan","summer",4006.48999023438,0.169000014662743,15.2583332061768
"252","Bhutan","summer",3921.74755859375,0.215777799487114,15.5125000476837
"253","Bhutan","summer",4200.740234375,0.203000016510487,14.4583334922791
"254","Bhutan","summer",4104.07763671875,0.197888903319836,14.7958335876465
"255","Bhutan","summer",4171.02001953125,0.218444459140301,14.5708334445953
"256","Bhutan","summer",4298.5673828125,0.243666686117649,14.0833334922791
"257","Bhutan","summer",4538.544921875,0.285000026226044,13.1666667461395
"258","Bhutan","summer",4825.70751953125,0.267888903617859,12.120833158493
"259","Bhutan","summer",4782.52978515625,0.253000020980835,12.3083333969116
"260","Bhutan","summer",4902.482421875,0.267111122608185,11.7749998569489
"261","Bhutan","summer",4708.66748046875,0.264777794480324,12.6166667938232
"262","Bhutan","summer",4476.865234375,0.239444464445114,13.495833158493
"263","Bhutan","summer",4260.81982421875,0.202555574476719,14.3083336353302
"264","Bhutan","summer",4137.2099609375,0.166888900101185,14.7833335399628
"265","Bhutan","summer",3978.61254882812,0.173000015318394,15.3500001430511
"266","Bhutan","summer",3934.6298828125,0.166444458067417,15.5416669845581
"267","Bhutan","summer",3954.794921875,0.158888906240463,15.4583334922791
"268","Bhutan","summer",3994.22509765625,0.144888907670975,15.3250000476837
"269","Bhutan","summer",4003.80004882812,0.134111121296883,15.3166666030884
"270","Bhutan","summer",4162.72998046875,0.171222239732742,14.7166664600372
"271","Bhutan","summer",4315.21728515625,0.177111126482487,14.1749999523163
"272","Bhutan","summer",4111.71484375,0.170333348214626,14.9583332538605
"273","Bhutan","summer",4059.794921875,0.158111125230789,15.1458332538605
"274","Bhutan","summer",4053.69995117188,0.183555573225021,15.1833333969116
"275","Bhutan","summer",4237.947265625,0.190444454550743,14.5083334445953
"276","Bhutan","summer",4141.24267578125,0.186666682362556,14.8916666507721
"277","Bhutan","summer",4159.59228515625,0.185444459319115,14.8374998569489
"278","Bhutan","summer",4159.02001953125,0.171555571258068,14.9166667461395
"279","Bhutan","summer",4071.4775390625,0.173111125826836,15.2750000953674
"280","Bhutan","summer",4038.857421875,0.183222241699696,15.4124999046326
"281","Bhutan","summer",3883.75,0.166111119091511,16.0375001430511
"282","Bhutan","summer",3837.27758789062,0.197777792811394,16.2333335876465
"283","Bhutan","summer",3922.544921875,0.160666674375534,15.9458332061768
"284","Bhutan","summer",4178.81005859375,0.174666680395603,15.0374999046326
"285","Bhutan","summer",4240.04248046875,0.179444462060928,14.8375000953674
"286","Bhutan","summer",4272.5,0.190666683018208,14.7249999046326
"287","Bhutan","summer",4482.94482421875,0.230333350598812,13.9458332061768
"288","Bhutan","summer",4474.6201171875,0.253222241997719,13.9874999523163
"289","Bhutan","summer",4501.3125,0.229888908565044,13.8999998569489
"290","Bhutan","summer",4395.08984375,0.220888897776604,14.2958331108093
"291","Bhutan","summer",4307.642578125,0.225333347916603,14.6041667461395
"292","Bhutan","summer",4205.55517578125,0.211444459855556,15.0166668891907
"293","Bhutan","summer",4417.62255859375,0.245111130177975,14.2208335399628
"294","Bhutan","summer",4574.14501953125,0.257666677236557,13.7000000476837
"295","Bhutan","summer",4322.79248046875,0.231555573642254,14.6333332061768
"296","Bhutan","summer",4248.1025390625,0.210222236812115,14.8583333492279
"297","Bhutan","summer",4146.794921875,0.185111127793789,15.2416665554047
"298","Bhutan","summer",4165.490234375,0.184444457292557,15.1833333969116
"299","Bhutan","summer",4304.40234375,0.202444456517696,14.6625001430511
"361","Bhutan","summer",4235.4326171875,0.141944456845522,14.4375
"362","Bhutan","summer",4220.0625,0.151055563241243,14.5
"363","Bhutan","summer",4249.24755859375,0.156388904899359,14.3708336353302
"364","Bhutan","summer",4398.21240234375,0.197722237557173,13.8083333969116
"365","Bhutan","summer",4477.74755859375,0.217444464564323,13.5333333015442
"366","Bhutan","summer",4630.2451171875,0.228555575013161,12.8583333492279
"367","Bhutan","summer",4813.759765625,0.249388907104731,12.1833333969116
"368","Bhutan","summer",4416.12255859375,0.212000016123056,13.6750001907349
"369","Bhutan","summer",4197.38232421875,0.17055556923151,14.5125000476837
"370","Bhutan","summer",4011.11743164062,0.14688890054822,15.2666664123535
"371","Bhutan","summer",3905.25,0.190166678279638,15.6333334445953
"372","Bhutan","summer",3964.7099609375,0.175666682422161,15.3833332061768
"373","Bhutan","summer",4228.84521484375,0.208333346992731,14.4125001430511
"374","Bhutan","summer",4419.06494140625,0.254055578261614,13.6791667938232
"375","Bhutan","summer",4614.71728515625,0.277611121535301,12.8749997615814
"376","Bhutan","summer",4653.73486328125,0.284888900816441,12.7249999046326
"377","Bhutan","summer",4746.47021484375,0.289666682481766,12.4208333492279
"378","Bhutan","summer",4633.71728515625,0.273055575788021,12.9375
"379","Bhutan","summer",4419.5849609375,0.263500019907951,13.7083334922791
"380","Bhutan","summer",4766.24267578125,0.27522224187851,12.3375000953674
"381","Bhutan","summer",4732.89013671875,0.282166689634323,12.4375
"382","Bhutan","summer",4512.125,0.267777804285288,13.2958333492279
"383","Bhutan","summer",4281.88232421875,0.219666685909033,14.2041666507721
"384","Bhutan","summer",4205.6923828125,0.193444460630417,14.4625000953674
"385","Bhutan","summer",4073.86499023438,0.158833343535662,15.0124998092651
"386","Bhutan","summer",3977.40991210938,0.156444456428289,15.4083335399628
"387","Bhutan","summer",4101.544921875,0.160888902842999,14.9333333969116
"388","Bhutan","summer",4241.64013671875,0.181611128151417,14.4416666030884
"389","Bhutan","summer",4077.92504882812,0.158888902515173,15.0583336353302
"390","Bhutan","summer",4238.2626953125,0.202277794480324,14.4749999046326
"391","Bhutan","summer",4435.51513671875,0.220222238451242,13.7541670799255
"392","Bhutan","summer",4232.59765625,0.211555566638708,14.5
"393","Bhutan","summer",4258.419921875,0.202833347022533,14.4041664600372
"394","Bhutan","summer",4254.90478515625,0.217500016093254,14.4375002384186
"395","Bhutan","summer",4390.490234375,0.20544446259737,14.0166666507721
"396","Bhutan","summer",4294.91748046875,0.188388906419277,14.4083333015442
"397","Bhutan","summer",4255.09521484375,0.170055571943521,14.5666666030884
"398","Bhutan","summer",4124.7451171875,0.149444457143545,15.0916666984558
"399","Bhutan","summer",3991.49243164062,0.155388899147511,15.6124997138977
"400","Bhutan","summer",3887.4326171875,0.194944459944963,16.0208332538605
"401","Bhutan","summer",3853.96240234375,0.20433334633708,16.1666669845581
"402","Bhutan","summer",3838.89990234375,0.231222234666348,16.2416667938232
"403","Bhutan","summer",3842.64990234375,0.213666684925556,16.2708330154419
"404","Bhutan","summer",3908.93505859375,0.170444454997778,16.0541663169861
"405","Bhutan","summer",3936.95751953125,0.16322223469615,15.9583334922791
"406","Bhutan","summer",4031.17993164062,0.147388901561499,15.6333332061768
"407","Bhutan","summer",4265.28759765625,0.164611127227545,14.7791664600372
"408","Bhutan","summer",4379.544921875,0.203444458544254,14.3833334445953
"409","Bhutan","summer",4396.9375,0.203666683286428,14.3583333492279
"410","Bhutan","summer",4381.1474609375,0.202333346009254,14.4208333492279
"411","Bhutan","summer",4321.865234375,0.207444462925196,14.6416668891907
"412","Bhutan","summer",4362.99755859375,0.225055571645498,14.4791665077209
"413","Bhutan","summer",4417.22998046875,0.230722237378359,14.2916665077209
"414","Bhutan","summer",4429.3125,0.23188890516758,14.2875001430511
"415","Bhutan","summer",4446.052734375,0.25500001385808,14.1999998092651
"416","Bhutan","summer",4454.83984375,0.246388908475637,14.1874997615814
"417","Bhutan","summer",4405.59765625,0.2330555729568,14.3666667938232
"418","Bhutan","summer",4371.125,0.207222238183022,14.5166666507721
"419","Bhutan","summer",4265.36767578125,0.187666684389114,14.9041666984558
"420","Bhutan","summer",4074.85009765625,0.14688890427351,15.6000001430511
"421","Bhutan","summer",3989.13989257812,0.132222233340144,15.8708333969116
"422","Bhutan","summer",4072.71997070312,0.15083334222436,15.5208332538605
"423","Bhutan","summer",4139.6474609375,0.15422223508358,15.2708332538605
"424","Bhutan","summer",4109.10498046875,0.16544445976615,15.3416666984558
"425","Bhutan","summer",4198.11767578125,0.165666684508324,14.9499998092651
"426","Bhutan","summer",4084.93994140625,0.176277793943882,15.3250000476837
"427","Bhutan","summer",3954.8798828125,0.213222239166498,15.7791666984558
"428","Bhutan","summer",3922.32006835938,0.195833347737789,15.8333330154419
"429","Bhutan","summer",3930.80249023438,0.225555576384068,15.7583332061768
"430","Bhutan","summer",4027.36743164062,0.238722238689661,15.2708332538605
"431","Bhutan","summer",4216.625,0.243777792900801,14.4625000953674
"432","Bhutan","summer",4508.017578125,0.272833354771137,13.3291666507721
"433","Bhutan","summer",4518.2900390625,0.248666688799858,13.2208335399628
"434","Bhutan","summer",4229.50244140625,0.254333350807428,14.2583334445953
"435","Bhutan","summer",4236.9599609375,0.255611129105091,14.1041665077209
