"NAME","mnt.id"
"Abakanskiy Ra.",1
"Adirondack Mts.",2
"Admiralty Mountains",3
"AHAGGAR MTS.",4
"Ahmar Mts.",5
"AÏR MTS.",6
"ALASKA RANGE",7
"Alataw Mts.",8
"Al Hajar Mts.",9
"Al Jabal al Akhdar",10
"ALPS",11
"ALTAY MOUNTAINS",12
"ALTUN MTS.",13
"ANDES",14
"Anti Atlas",15
"APPALACHIAN MTS.",16
"APPENNINI",17
"Arakan Yoma",18
"Ardennes",19
"Arvalli Ra.",20
"ASIR MTS.",21
"ATLAS MOUNTAINS",22
"ATLAS SAHARIEN",23
"Atlas Tellien",24
"Australian Alps",25
"Balkan Mts.",26
"Barisan Mountains",27
"Birch Mts.",28
"Bitterroot Range",29
"Black Hills",30
"Blue Mts.",31
"Blue Ridge",32
"Böhmerwald",33
"Borohoro Mts.",34
"BROOKS RANGE",35
"Bureinskiy Ra.",36
"Calabria",37
"Cambrian Mts.",38
"Caribou Mts.",39
"CARPATHIAN MOUNTAINS",40
"CASCADE RANGE",41
"Cassiar Mts.",42
"CAUCASUS MTS.",43
"Central Bruhui Range",44
"Central Highlands",45
"Central Makran",46
"CHAÎNE ANNAMITIQUE",47
"Chaîne des Mongos",48
"CHERSKIY RANGE",49
"Chin Hills",50
"CHUGACH MTS.",51
"Chukchi Range",52
"COAST MOUNTAINS",53
"COAST RANGES",54
"COLUMBIA MTS.",55
"Cord. Cantábrica",56
"CORD. CENTRAL",57
"Cord. de Mérida",58
"CORDILLERA OCCIDENTAL",59
"CORDILLERA ORIENTAL",60
"CORDILLERA  REAL",61
"CORD. OCCIDENTAL",62
"CRYSTAL MOUNTAINS",63
"Cuchilla Grande",64
"Dabie Mts.",65
"Dalou Mts.",66
"Dângrêk Ra.",67
"Darling Range",68
"Dinaric Alps",69
"DRAKENSBERG",70
"Dzhugdzhur Range",71
"EASTERN GHATS",72
"EASTERN SAYAN MTS.",73
"ELBURZ MTS.",74
"Ellsworth Mountains",75
"Er Rif",76
"Erzgebirge",77
"ETHIOPIAN HIGHLANDS",78
"Executive Committee Range",79
"Flinders Ranges",80
"Flood Range",81
"Ford Ranges",82
"Front Range",83
"Grampian Mts.",84
"GREAT DIVIDING RANGE",85
"GREATER KHINGAN RANGE",86
"Gregory Ra.",87
"Groot Karasberge",88
"GUIANA HIGHLANDS",89
"Guinea Highlands",90
"Hadhramaut",91
"Hamersley Ra.",92
"Hamgyong Mts.",93
"Hangayn Mts.",94
"Hardanger-vidda",95
"Harz",96
"HAUT ATLAS",97
"HEJAZ MTS.",98
"Hentiyn Mts.",99
"HIMALAYAS",100
"HINDU KUSH",101
"Inyanga Mts.",102
"Jabal bin Ghunaymah",103
"Jones Mountains",104
"Jura",105
"KARAKORAM RA.",106
"Karatau Range",107
"Khasi Hills",108
"Kirthar Ra.",109
"KJØLEN MOUNTAINS",110
"Klamath Mts.",111
"KOLYMA RANGE",112
"Kopet Dag Mts .",113
"Koryak Range",114
"KUH RUD MOUNTAINS",115
"KUNLUN MOUNTAINS",116
"Lebanon Mts.",117
"Lebombo Mts.",118
"Lesser Caucasus",119
"Lesser Khingan Range",120
"Loma Mts.",121
"Lüliang Mts.",122
"MacDonnell Ranges",123
"MACKENZIE MTS.",124
"Maoke Mts.",125
"Marrah Mts.",126
"Maya Mts.",127
"Mbang Mts.",128
"MITUMBA MTS.",129
"Mogollon Rim",130
"Momskiy Mts.",131
"Moyen Atlas",132
"Muchinga Mts.",133
"Naga Hills",134
"Nan Ling Mts.",135
"Napier Mountains",136
"NEW GUINEA HIGHLANDS",137
"Ogilvie Mts.",138
"Ogo Mts.",139
"Ouachita Mts.",140
"Owen Stanley Ra.",141
"PAMIRS",142
"Paropamisus Ra.",143
"Pensacola Mountains",144
"Pindus Mts.",145
"PONTIC MOUNTAINS",146
"Prince Albert Mountains",147
"Prince Charles Mountains",148
"PYRENEES",149
"Qinling Mountains",150
"Queen Alexandra Range",151
"Queen Maude Mountains",152
"Queen Maud Mountains",153
"QUILIAN MOUNTAINS",154
"ROCKY MOUNTAINS",155
"Ruwenzori Range",156
"Salmon River Mts.",157
"Salt Ra.",158
"Satpura Range",159
"Scott Mountains",160
"S. de Pakaraima",161
"S. do Cachimbo",162
"S. do Piaui",163
"S. dos Gradaús",164
"S. Dourada",165
"SELWYN MTS.",166
"Selwyn Ra.",167
"Serra Acaraí",168
"Serra da Ibiapaba",169
"Serra da Mantiqueira",170
"Serra de Curupira",171
"Serra do Espinhaço",172
"Serra do Mar",173
"Serra Geral",174
"Shackleton Range",175
"Sierra Chiapas",176
"Sierra Madre del Sur",177
"SIERRA MADRE OCCIDENTAL",178
"SIERRA MADRE ORIENTAL",179
"Sierra Morena",180
"SIERRA NEVADA",181
"SIKHOTE-ALIN’ RANGE",182
"Siwalik Hills",183
"S. Nevada",184
"SOUTHERN ALPS",185
"Southern Ghats",186
"SREDINNYY RANGE",187
"STANOVOY RANGE",188
"Sudetes Mts.",189
"Sulaiman Ra.",190
"Suntar-Khayata Range",191
"Taihang Mts.",192
"Tannu-Ola Ra.",193
"Tarbagatay Ra.",194
"Tatra Mts.",195
"Taurus Mts.",196
"TIAN SHAN",197
"TIBESTI MTS.",198
"TORNGAT MTS.",199
"Transantarctic Mountains",200
"Transylvanian Alps",201
"Tumuc-Humac Mts.",202
"Tuwayq Mts.",203
"URAL MOUNTAINS",204
"Vatnajökull",205
"VERKHOYANSK RANGE",206
"Vindhya Range",207
"Vosges",208
"Wasatch Range",209
"WESTERN GHATS",210
"Western Sayan Mts.",211
"Wilhelmina Gebergte",212
"Witwatersrand",213
"Wrangell Mts.",214
"Wuyi Mts.",215
"YABLONOVYY RANGE",216
"Yam Alin’ Range",217
"Yin Mts.",218
"ZAGROS MOUNTAINS",219
